open_time,open,high,low,close,volume,RSI,Inverse_Fisher_RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,ADX,Stochastic_%K,Stochastic_%D,ATR,ROC,CCI
2024-12-02 11:00:00+03:00,9.318,9.386,8.902,9.128,18176.79,54.60717749757517,0.5084205531936783,0.17829822869244616,0.1841698249432123,-0.005871596250766137,9.481542670940701,9.0714,8.6612573290593,11.312912,10.516044,9.872,9.227956,8.311012,45.313030357139645,38.20816864295136,50.08134003847425,0.29385714285714293,-0.6422118210514779,32.90103290103192
2024-12-02 15:00:00+03:00,9.129,9.6,9.088,9.598,17870.86,61.481481481481524,0.525903591260501,0.19952241544710425,0.1872403430439907,0.012282072403113548,9.52992031625772,9.12195,8.71397968374228,11.312912,10.516044,9.872,9.227956,8.311012,42.60417102591093,99.7375328083991,67.32206266901613,0.31957142857142873,4.485086000435454,137.8868877701076
2024-12-02 19:00:00+03:00,9.581,9.661,9.196,9.594,27107.38,60.833333333333336,0.5254342355214657,0.2135582037540633,0.19250391518600524,0.021054288568058077,9.594297671008523,9.16055,8.726802328991479,11.312912,10.516044,9.872,9.227956,8.311012,39.39130497041908,91.85905224787362,76.60158456640804,0.34021428571428586,7.063943756277191,149.6127263848639
2024-12-02 23:00:00+03:00,9.594,10.003,9.559,9.942,35006.13,68.07228915662654,0.5430599539468932,0.24988187603154977,0.20397950735511416,0.0459023686764356,9.750300002452594,9.2138,8.677299997547408,11.312912,10.516044,9.872,9.227956,8.311012,36.85379362580613,94.76394849785407,95.45351118470894,0.3587142857142859,8.418756815703384,243.42269482302433
2024-12-03 03:00:00+03:00,9.942,10.04,9.7,10.017,7728.05,66.42913697545528,0.5595376068203282,0.2814758429038626,0.21947877446486386,0.06199706843899877,9.890954258963017,9.2715,8.652045741036982,11.312912,10.516044,9.872,9.227956,8.311012,33.055605609522566,98.08652246256243,94.90317440276338,0.357357142857143,9.715224534501628,224.26832917431796
2024-12-03 07:00:00+03:00,10.013,10.123,9.813,9.953,12014.28,64.81266898416376,0.5897401525882696,0.2979158358334111,0.2351661867385733,0.06274964909483777,9.991770255546738,9.3217,8.651629744453261,11.312912,10.516044,9.872,9.227956,8.311012,29.68747275945403,86.77042801556422,93.20696632532692,0.3652142857142858,6.5974081610795725,194.56198598181538
2024-12-03 11:00:00+03:00,9.946,10.299,9.9,10.238,15972.78,74.10343525858814,0.5970510012518759,0.3301361626490582,0.2541601819206703,0.0759759807283879,10.146284678762399,9.386700000000001,8.627115321237603,11.312912,10.516044,9.872,9.227956,8.311012,31.570347178282756,95.63350035790981,93.49681694534549,0.36742857142857144,11.005095955762753,195.6067160469485
2024-12-03 15:00:00+03:00,10.254,10.334,9.603,10.002,26250.49,65.54559043348283,0.6104978105755173,0.33279156214679695,0.26988645796589567,0.06290510418090128,10.223232582306283,9.434800000000001,8.64636741769372,11.312912,10.516044,9.872,9.227956,8.311012,31.782794326054184,76.81564245810064,86.40652361052491,0.3977142857142857,5.651209464455478,130.91728114902068
2024-12-03 19:00:00+03:00,10.003,10.406,9.958,10.311,23454.99,70.0509337860781,0.6170166744019491,0.3557290795635808,0.2870549822854327,0.0686740972781481,10.356731336423016,9.496649999999999,8.636568663576982,11.312912,10.516044,9.872,9.227956,8.311012,31.49655791529094,93.68351063829783,88.71088448476944,0.413,12.185833968012176,153.23626542590895
2024-12-03 23:00:00+03:00,10.313,10.616,10.302,10.609,20626.06,70.94861660079053,0.6410920695940002,0.39341825612016557,0.3083276370523793,0.08509061906778626,10.535394050755015,9.578,8.620605949244984,11.312912,10.516044,9.872,9.227956,8.311012,31.05256323239146,99.59159859976664,90.03025056538837,0.416,13.8793473593817,169.69400871269664
